0,1,2
"('10.12268', '77.54372', 'Periyakulam', 'IN', 'Asia/Kolkata')","('30.81383', '75.16878', 'Moga', 'IN', 'Asia/Kolkata')","[('10.10649', '76.35484'), ('9.57046', '76.32756'), ('15.45144', '78.14797'), ('30.81383', '75.16878'), ('24.05979', '77.40858'), ('24.05979', '77.40858'), ('15.45144', '78.14797'), ('12.04161', '75.35927'), ('26.76628', '83.36889'), ('25.13915', '73.06784')]"
"('10.12268', '77.54372', 'Periyakulam', 'IN', 'Asia/Kolkata')","('21.53889', '71.57737', 'Gariadhar', 'IN', 'Asia/Kolkata')","[('30.81383', '75.16878'), ('23.07492', '88.28637'), ('15.45144', '78.14797'), ('26.76628', '83.36889'), ('12.25282', '79.41727'), ('22.88783', '84.13864'), ('12.95629', '78.27539'), ('21.34222', '71.30633')]"
"('32.55531', '76.12647', 'Chamba', 'IN', 'Asia/Kolkata')","('26.2649', '81.54855', 'Jais', 'IN', 'Asia/Kolkata')","[('22.19303', '88.18466'), ('15.45144', '78.14797'), ('26.44931', '91.61356'), ('11.12018', '76.11996'), ('30.21121', '74.4818'), ('26.76628', '83.36889'), ('15.5439', '73.7553'), ('25.49043', '85.94001'), ('25.92127', '86.79271'), ('32.55531', '76.12647'), ('25.92493', '73.66633'), ('15.73628', '75.96976')]"
"('34.08565', '74.80555', 'Srinagar', 'IN', 'Asia/Kolkata')","('26.32293', '91.00632', 'Barpeta', 'IN', 'Asia/Kolkata')","[('16.06213', '76.0586'), ('20.88098', '75.11937'), ('25.49043', '85.94001'), ('11.00599', '77.5609'), ('23.18', '88.58'), ('25.92493', '73.66633'), ('23.18', '88.58'), ('12.95629', '78.27539'), ('25.49043', '85.94001'), ('15.73628', '75.96976')]"
"('23.18', '88.58', 'Aistala', 'IN', 'Asia/Kolkata')","('21.46527', '83.97573', 'Sambalpur', 'IN', 'Asia/Kolkata')","[('15.5439', '73.7553'), ('15.45144', '78.14797'), ('20.88197', '85.83334'), ('21.53889', '71.57737'), ('34.08565', '74.80555'), ('28.98002', '77.70636'), ('10.10649', '76.35484'), ('15.73628', '75.96976')]"
"('12.04161', '75.35927', 'Talipparamba', 'IN', 'Asia/Kolkata')","('29.21399', '78.95693', 'Kashipur', 'IN', 'Asia/Kolkata')","[('26.11527', '86.59509'), ('12.04161', '75.35927'), ('20.88098', '75.11937'), ('15.45144', '78.14797'), ('26.44931', '91.61356'), ('18.87813', '72.93924'), ('12.04161', '75.35927'), ('15.5439', '73.7553'), ('17.34769', '78.55757'), ('23.1959', '86.51499')]"
"('23.49668', '86.68363', 'Adra', 'IN', 'Asia/Kolkata')","('11.00599', '77.5609', 'Kangayam', 'IN', 'Asia/Kolkata')","[('25.92493', '73.66633'), ('27.9247', '78.40102'), ('28.71271', '77.656'), ('9.82564', '78.25795'), ('16.06213', '76.0586'), ('29.22254', '79.5286'), ('22.75218', '72.68533'), ('20.88197', '85.83334'), ('30.81383', '75.16878'), ('16.06213', '76.0586')]"
"('14.46693', '75.92694', 'Davangere', 'IN', 'Asia/Kolkata')","('25.92493', '73.66633', 'Sojat', 'IN', 'Asia/Kolkata')","[('26.76628', '83.36889'), ('23.49668', '86.68363'), ('34.08565', '74.80555'), ('18.87813', '72.93924'), ('20.88197', '85.83334'), ('25.13915', '73.06784'), ('23.1959', '86.51499'), ('17.54907', '82.85749'), ('15.45144', '78.14797'), ('23.49668', '86.68363'), ('10.10649', '76.35484')]"
"('14.62072', '74.83554', 'Sirsi', 'IN', 'Asia/Kolkata')","('14.46693', '75.92694', 'Davangere', 'IN', 'Asia/Kolkata')","[('16.06213', '76.0586'), ('11.00599', '77.5609'), ('25.6439', '77.9129'), ('16.06213', '76.0586'), ('12.25282', '79.41727'), ('14.46693', '75.92694'), ('9.57046', '76.32756'), ('26.11527', '86.59509'), ('32.55531', '76.12647')]"
"('9.57046', '76.32756', 'Kalavoor', 'IN', 'Asia/Kolkata')","('22.10194', '85.37752', 'Barbil', 'IN', 'Asia/Kolkata')","[('19.21667', '73.08333'), ('25.6439', '77.9129'), ('12.95629', '78.27539'), ('28.92694', '78.23456'), ('10.10649', '76.35484'), ('28.98002', '77.70636'), ('16.06213', '76.0586'), ('23.18', '88.58'), ('14.62072', '74.83554'), ('9.82564', '78.25795'), ('12.04161', '75.35927')]"
"('22.19303', '88.18466', 'Diamond Harbour', 'IN', 'Asia/Kolkata')","('22.19303', '88.18466', 'Diamond Harbour', 'IN', 'Asia/Kolkata')","[('27.9247', '78.40102'), ('12.04161', '75.35927'), ('17.54907', '82.85749'), ('11.00599', '77.5609'), ('28.92694', '78.23456'), ('21.46527', '83.97573'), ('26.32293', '91.00632'), ('18.18158', '76.03889'), ('18.87813', '72.93924'), ('21.34222', '71.30633'), ('11.00599', '77.5609')]"
"('25.66795', '85.83636', 'Dalsingh Sarai', 'IN', 'Asia/Kolkata')","('15.45144', '78.14797', 'Betamcherla', 'IN', 'Asia/Kolkata')","[('22.4711', '88.1453'), ('26.2649', '81.54855'), ('11.93381', '79.82979'), ('11.12018', '76.11996'), ('26.32293', '91.00632'), ('24.41288', '76.56719'), ('19.21667', '73.08333'), ('31.28092', '74.85849'), ('28.71271', '77.656'), ('21.59983', '71.21169')]"
"('20.88197', '85.83334', 'Bhuban', 'IN', 'Asia/Kolkata')","('14.46693', '75.92694', 'Davangere', 'IN', 'Asia/Kolkata')","[('25.92127', '86.79271'), ('12.25282', '79.41727'), ('18.87813', '72.93924'), ('32.55531', '76.12647'), ('24.81757', '84.63445'), ('28.71271', '77.656'), ('25.6439', '77.9129'), ('17.34769', '78.55757'), ('26.11527', '86.59509'), ('29.21399', '78.95693'), ('23.1959', '86.51499')]"
"('25.49043', '85.94001', 'Teghra', 'IN', 'Asia/Kolkata')","('25.87498', '86.59611', 'Saharsa', 'IN', 'Asia/Kolkata')","[('21.53889', '71.57737'), ('26.76628', '83.36889'), ('31.28092', '74.85849'), ('22.19303', '88.18466'), ('12.25282', '79.41727'), ('11.93381', '79.82979'), ('20.88098', '75.11937'), ('12.25282', '79.41727'), ('28.98002', '77.70636'), ('10.12268', '77.54372'), ('22.19303', '88.18466'), ('26.2649', '81.54855')]"
"('21.53889', '71.57737', 'Gariadhar', 'IN', 'Asia/Kolkata')","('12.25282', '79.41727', 'Gingee', 'IN', 'Asia/Kolkata')","[('27.9247', '78.40102'), ('22.10194', '85.37752'), ('23.18', '88.58'), ('14.46693', '75.92694'), ('25.49043', '85.94001'), ('23.07492', '88.28637'), ('11.12018', '76.11996'), ('25.49043', '85.94001')]"
"('22.10194', '85.37752', 'Barbil', 'IN', 'Asia/Kolkata')","('25.13915', '73.06784', 'Sheoganj', 'IN', 'Asia/Kolkata')","[('20.88098', '75.11937'), ('23.49668', '86.68363'), ('19.21667', '73.08333'), ('22.4711', '88.1453'), ('10.10649', '76.35484'), ('15.45144', '78.14797'), ('12.1277', '78.15794'), ('14.46693', '75.92694'), ('22.75218', '72.68533'), ('30.21121', '74.4818'), ('11.93381', '79.82979')]"
"('19.21667', '73.08333', 'Dombivli', 'IN', 'Asia/Kolkata')","('33.37526', '74.3092', 'Rajaori', 'IN', 'Asia/Kolkata')","[('25.49043', '85.94001'), ('26.11527', '86.59509'), ('25.92493', '73.66633'), ('29.22254', '79.5286'), ('34.08565', '74.80555'), ('21.34222', '71.30633'), ('21.46527', '83.97573'), ('21.46527', '83.97573'), ('24.05979', '77.40858'), ('21.34222', '71.30633')]"
"('28.98002', '77.70636', 'Meerut', 'IN', 'Asia/Kolkata')","('21.59983', '71.21169', 'Amreli', 'IN', 'Asia/Kolkata')","[('14.46693', '75.92694'), ('12.25282', '79.41727'), ('21.59983', '71.21169'), ('21.53889', '71.57737'), ('15.5439', '73.7553'), ('21.34222', '71.30633'), ('19.30157', '72.85107'), ('12.95629', '78.27539'), ('21.34222', '71.30633'), ('15.45144', '78.14797'), ('26.32293', '91.00632'), ('20.88197', '85.83334')]"
"('22.4711', '88.1453', 'Pujali', 'IN', 'Asia/Kolkata')","('25.75728', '75.37991', 'Deoli', 'IN', 'Asia/Kolkata')","[('15.45144', '78.14797'), ('11.93381', '79.82979'), ('19.30157', '72.85107'), ('33.37526', '74.3092'), ('17.54907', '82.85749'), ('12.95629', '78.27539'), ('26.32293', '91.00632'), ('21.53889', '71.57737')]"
"('23.07492', '88.28637', 'Pandua', 'IN', 'Asia/Kolkata')","('24.41288', '76.56719', 'Aklera', 'IN', 'Asia/Kolkata')","[('11.00599', '77.5609'), ('25.92493', '73.66633'), ('17.54907', '82.85749'), ('34.08565', '74.80555'), ('11.12018', '76.11996'), ('10.58806', '77.24779'), ('25.13915', '73.06784'), ('26.32293', '91.00632'), ('21.34222', '71.30633')]"
"('11.50526', '77.23826', 'Sathyamangalam', 'IN', 'Asia/Kolkata')","('10.12268', '77.54372', 'Periyakulam', 'IN', 'Asia/Kolkata')","[('12.1277', '78.15794'), ('18.87813', '72.93924'), ('21.34222', '71.30633'), ('25.92493', '73.66633'), ('24.81757', '84.63445'), ('25.87498', '86.59611'), ('12.25282', '79.41727'), ('23.49668', '86.68363')]"
"('25.87498', '86.59611', 'Saharsa', 'IN', 'Asia/Kolkata')","('11.12018', '76.11996', 'Manjeri', 'IN', 'Asia/Kolkata')","[('18.87813', '72.93924'), ('25.6439', '77.9129'), ('25.87498', '86.59611'), ('25.6439', '77.9129'), ('22.88783', '84.13864'), ('22.75218', '72.68533'), ('24.41288', '76.56719'), ('14.62072', '74.83554'), ('29.22254', '79.5286'), ('23.1959', '86.51499')]"
"('25.66795', '85.83636', 'Dalsingh Sarai', 'IN', 'Asia/Kolkata')","('25.92493', '73.66633', 'Sojat', 'IN', 'Asia/Kolkata')","[('12.1277', '78.15794'), ('23.07492', '88.28637'), ('31.28092', '74.85849'), ('11.12018', '76.11996'), ('11.12018', '76.11996'), ('25.6439', '77.9129'), ('16.06213', '76.0586'), ('25.92127', '86.79271')]"
"('10.58806', '77.24779', 'Udumalaippettai', 'IN', 'Asia/Kolkata')","('10.12268', '77.54372', 'Periyakulam', 'IN', 'Asia/Kolkata')","[('9.82564', '78.25795'), ('23.49668', '86.68363'), ('22.4711', '88.1453'), ('15.73628', '75.96976'), ('34.08565', '74.80555'), ('29.21399', '78.95693'), ('24.81757', '84.63445'), ('12.25282', '79.41727'), ('26.32293', '91.00632')]"
"('25.92493', '73.66633', 'Sojat', 'IN', 'Asia/Kolkata')","('18.18158', '76.03889', 'Osmanabad', 'IN', 'Asia/Kolkata')","[('24.41288', '76.56719'), ('29.21399', '78.95693'), ('23.18', '88.58'), ('18.51957', '73.85535'), ('19.30157', '72.85107'), ('27.9247', '78.40102'), ('15.73628', '75.96976'), ('26.2649', '81.54855'), ('28.71271', '77.656'), ('26.44931', '91.61356'), ('21.53889', '71.57737'), ('25.92127', '86.79271')]"
"('17.54907', '82.85749', 'Elamanchili', 'IN', 'Asia/Kolkata')","('30.81383', '75.16878', 'Moga', 'IN', 'Asia/Kolkata')","[('28.98002', '77.70636'), ('19.21667', '73.08333'), ('22.10194', '85.37752'), ('30.81383', '75.16878'), ('11.93381', '79.82979'), ('17.34769', '78.55757'), ('28.92694', '78.23456'), ('33.37526', '74.3092')]"
"('15.45144', '78.14797', 'Betamcherla', 'IN', 'Asia/Kolkata')","('10.58806', '77.24779', 'Udumalaippettai', 'IN', 'Asia/Kolkata')","[('18.18158', '76.03889'), ('20.88197', '85.83334'), ('25.13915', '73.06784'), ('9.57046', '76.32756'), ('34.08565', '74.80555'), ('12.04161', '75.35927'), ('30.21121', '74.4818'), ('24.05979', '77.40858'), ('9.82564', '78.25795'), ('31.28092', '74.85849'), ('29.21399', '78.95693')]"
"('11.50526', '77.23826', 'Sathyamangalam', 'IN', 'Asia/Kolkata')","('23.18', '88.58', 'Aistala', 'IN', 'Asia/Kolkata')","[('18.87813', '72.93924'), ('11.50526', '77.23826'), ('24.81757', '84.63445'), ('18.87813', '72.93924'), ('11.12018', '76.11996'), ('32.55531', '76.12647'), ('19.21667', '73.08333'), ('24.81757', '84.63445'), ('23.1959', '86.51499')]"
"('25.92493', '73.66633', 'Sojat', 'IN', 'Asia/Kolkata')","('25.87498', '86.59611', 'Saharsa', 'IN', 'Asia/Kolkata')","[('24.41288', '76.56719'), ('30.21121', '74.4818'), ('25.87498', '86.59611'), ('22.75218', '72.68533'), ('27.9247', '78.40102'), ('25.49043', '85.94001'), ('20.88197', '85.83334'), ('11.93381', '79.82979'), ('32.55531', '76.12647')]"
"('26.2649', '81.54855', 'Jais', 'IN', 'Asia/Kolkata')","('16.06213', '76.0586', 'Hungund', 'IN', 'Asia/Kolkata')","[('23.49668', '86.68363'), ('29.21399', '78.95693'), ('12.04161', '75.35927'), ('19.21667', '73.08333'), ('27.9247', '78.40102'), ('22.75218', '72.68533'), ('9.82564', '78.25795'), ('26.32293', '91.00632'), ('22.75218', '72.68533'), ('11.12018', '76.11996')]"
"('20.88197', '85.83334', 'Bhuban', 'IN', 'Asia/Kolkata')","('10.10649', '76.35484', 'Alwaye', 'IN', 'Asia/Kolkata')","[('9.57046', '76.32756'), ('17.54907', '82.85749'), ('21.34222', '71.30633'), ('14.46693', '75.92694'), ('12.04161', '75.35927'), ('18.18158', '76.03889'), ('28.92694', '78.23456'), ('17.34769', '78.55757')]"
"('21.46527', '83.97573', 'Sambalpur', 'IN', 'Asia/Kolkata')","('9.82564', '78.25795', 'Tiruppuvanam', 'IN', 'Asia/Kolkata')","[('11.93381', '79.82979'), ('24.81757', '84.63445'), ('17.34769', '78.55757'), ('10.10649', '76.35484'), ('11.12018', '76.11996'), ('23.1959', '86.51499'), ('16.06213', '76.0586'), ('12.95629', '78.27539'), ('31.28092', '74.85849'), ('23.1959', '86.51499')]"
"('23.49668', '86.68363', 'Adra', 'IN', 'Asia/Kolkata')","('17.54907', '82.85749', 'Elamanchili', 'IN', 'Asia/Kolkata')","[('26.11527', '86.59509'), ('28.92694', '78.23456'), ('11.50526', '77.23826'), ('11.50526', '77.23826'), ('25.92493', '73.66633'), ('32.55531', '76.12647'), ('33.37526', '74.3092'), ('20.88197', '85.83334'), ('16.06213', '76.0586')]"
"('9.82564', '78.25795', 'Tiruppuvanam', 'IN', 'Asia/Kolkata')","('28.98002', '77.70636', 'Meerut', 'IN', 'Asia/Kolkata')","[('10.58806', '77.24779'), ('23.07492', '88.28637'), ('9.57046', '76.32756'), ('22.10194', '85.37752'), ('25.6439', '77.9129'), ('30.21121', '74.4818'), ('11.93381', '79.82979'), ('30.21121', '74.4818'), ('25.75728', '75.37991')]"
"('25.49043', '85.94001', 'Teghra', 'IN', 'Asia/Kolkata')","('25.87498', '86.59611', 'Saharsa', 'IN', 'Asia/Kolkata')","[('15.73628', '75.96976'), ('25.6439', '77.9129'), ('25.49043', '85.94001'), ('14.62072', '74.83554'), ('16.06213', '76.0586'), ('21.46527', '83.97573'), ('25.92493', '73.66633'), ('23.07492', '88.28637'), ('29.22254', '79.5286'), ('10.12268', '77.54372'), ('29.21399', '78.95693'), ('21.34222', '71.30633')]"
"('22.75218', '72.68533', 'Kheda', 'IN', 'Asia/Kolkata')","('14.46693', '75.92694', 'Davangere', 'IN', 'Asia/Kolkata')","[('17.34769', '78.55757'), ('25.13915', '73.06784'), ('30.81383', '75.16878'), ('32.55531', '76.12647'), ('12.95629', '78.27539'), ('12.25282', '79.41727'), ('25.92493', '73.66633'), ('26.76628', '83.36889'), ('11.12018', '76.11996'), ('34.08565', '74.80555'), ('14.62072', '74.83554')]"
"('26.44931', '91.61356', 'Rangia', 'IN', 'Asia/Kolkata')","('19.30157', '72.85107', 'Bhayandar', 'IN', 'Asia/Kolkata')","[('16.06213', '76.0586'), ('26.11527', '86.59509'), ('22.4711', '88.1453'), ('27.9247', '78.40102'), ('28.71271', '77.656'), ('22.10194', '85.37752'), ('25.87498', '86.59611'), ('14.46693', '75.92694'), ('31.28092', '74.85849'), ('26.2649', '81.54855'), ('33.37526', '74.3092'), ('18.51957', '73.85535')]"
"('11.50526', '77.23826', 'Sathyamangalam', 'IN', 'Asia/Kolkata')","('33.37526', '74.3092', 'Rajaori', 'IN', 'Asia/Kolkata')","[('25.49043', '85.94001'), ('21.59983', '71.21169'), ('23.49668', '86.68363'), ('15.5439', '73.7553'), ('15.45144', '78.14797'), ('25.66795', '85.83636'), ('23.49668', '86.68363'), ('15.5439', '73.7553')]"
"('25.49043', '85.94001', 'Teghra', 'IN', 'Asia/Kolkata')","('33.37526', '74.3092', 'Rajaori', 'IN', 'Asia/Kolkata')","[('26.44931', '91.61356'), ('26.76628', '83.36889'), ('34.08565', '74.80555'), ('28.71271', '77.656'), ('15.73628', '75.96976'), ('28.92694', '78.23456'), ('31.28092', '74.85849'), ('22.19303', '88.18466'), ('24.41288', '76.56719')]"
"('10.58806', '77.24779', 'Udumalaippettai', 'IN', 'Asia/Kolkata')","('15.73628', '75.96976', 'Gajendragarh', 'IN', 'Asia/Kolkata')","[('16.06213', '76.0586'), ('14.62072', '74.83554'), ('23.1959', '86.51499'), ('25.13915', '73.06784'), ('24.81757', '84.63445'), ('9.57046', '76.32756'), ('29.22254', '79.5286'), ('15.73628', '75.96976'), ('31.28092', '74.85849')]"
"('25.49043', '85.94001', 'Teghra', 'IN', 'Asia/Kolkata')","('20.88197', '85.83334', 'Bhuban', 'IN', 'Asia/Kolkata')","[('23.07492', '88.28637'), ('10.10649', '76.35484'), ('33.37526', '74.3092'), ('22.10194', '85.37752'), ('19.30157', '72.85107'), ('11.93381', '79.82979'), ('11.12018', '76.11996'), ('25.13915', '73.06784'), ('25.75728', '75.37991'), ('26.44931', '91.61356'), ('24.05979', '77.40858'), ('26.11527', '86.59509')]"
"('19.21667', '73.08333', 'Dombivli', 'IN', 'Asia/Kolkata')","('24.81757', '84.63445', 'Rafiganj', 'IN', 'Asia/Kolkata')","[('21.53889', '71.57737'), ('11.93381', '79.82979'), ('12.25282', '79.41727'), ('9.82564', '78.25795'), ('23.1959', '86.51499'), ('25.66795', '85.83636'), ('15.73628', '75.96976'), ('25.87498', '86.59611'), ('18.51957', '73.85535')]"
"('19.30157', '72.85107', 'Bhayandar', 'IN', 'Asia/Kolkata')","('23.49668', '86.68363', 'Adra', 'IN', 'Asia/Kolkata')","[('20.88197', '85.83334'), ('25.75728', '75.37991'), ('22.88783', '84.13864'), ('9.82564', '78.25795'), ('14.46693', '75.92694'), ('17.34769', '78.55757'), ('16.06213', '76.0586'), ('14.62072', '74.83554'), ('10.10649', '76.35484')]"
"('25.66795', '85.83636', 'Dalsingh Sarai', 'IN', 'Asia/Kolkata')","('17.34769', '78.55757', 'Lal Bahadur Nagar', 'IN', 'Asia/Kolkata')","[('22.19303', '88.18466'), ('26.76628', '83.36889'), ('18.87813', '72.93924'), ('18.87813', '72.93924'), ('10.58806', '77.24779'), ('12.25282', '79.41727'), ('28.92694', '78.23456'), ('24.81757', '84.63445'), ('11.00599', '77.5609'), ('21.34222', '71.30633'), ('10.58806', '77.24779')]"
"('12.04161', '75.35927', 'Talipparamba', 'IN', 'Asia/Kolkata')","('25.87498', '86.59611', 'Saharsa', 'IN', 'Asia/Kolkata')","[('11.00599', '77.5609'), ('26.76628', '83.36889'), ('25.13915', '73.06784'), ('11.12018', '76.11996'), ('26.76628', '83.36889'), ('28.71271', '77.656'), ('10.12268', '77.54372'), ('15.45144', '78.14797'), ('11.00599', '77.5609')]"
"('28.98002', '77.70636', 'Meerut', 'IN', 'Asia/Kolkata')","('26.32293', '91.00632', 'Barpeta', 'IN', 'Asia/Kolkata')","[('11.12018', '76.11996'), ('22.4711', '88.1453'), ('25.49043', '85.94001'), ('22.75218', '72.68533'), ('21.59983', '71.21169'), ('21.34222', '71.30633'), ('28.98002', '77.70636'), ('24.81757', '84.63445'), ('26.32293', '91.00632'), ('15.73628', '75.96976'), ('11.00599', '77.5609')]"
"('22.10194', '85.37752', 'Barbil', 'IN', 'Asia/Kolkata')","('15.5439', '73.7553', 'Calangute', 'IN', 'Asia/Kolkata')","[('28.98002', '77.70636'), ('20.88098', '75.11937'), ('32.55531', '76.12647'), ('21.53889', '71.57737'), ('22.19303', '88.18466'), ('9.57046', '76.32756'), ('21.53889', '71.57737'), ('21.34222', '71.30633'), ('34.08565', '74.80555'), ('12.1277', '78.15794')]"
"('10.10649', '76.35484', 'Alwaye', 'IN', 'Asia/Kolkata')","('33.37526', '74.3092', 'Rajaori', 'IN', 'Asia/Kolkata')","[('32.55531', '76.12647'), ('14.46693', '75.92694'), ('25.75728', '75.37991'), ('18.18158', '76.03889'), ('15.45144', '78.14797'), ('25.75728', '75.37991'), ('29.22254', '79.5286'), ('10.58806', '77.24779'), ('25.75728', '75.37991'), ('28.98002', '77.70636'), ('11.50526', '77.23826'), ('25.66795', '85.83636')]"
"('12.95629', '78.27539', 'Robertsonpet', 'IN', 'Asia/Kolkata')","('22.19303', '88.18466', 'Diamond Harbour', 'IN', 'Asia/Kolkata')","[('26.2649', '81.54855'), ('21.46527', '83.97573'), ('21.59983', '71.21169'), ('21.59983', '71.21169'), ('23.07492', '88.28637'), ('21.46527', '83.97573'), ('26.2649', '81.54855'), ('21.34222', '71.30633'), ('21.46527', '83.97573')]"
"('11.12018', '76.11996', 'Manjeri', 'IN', 'Asia/Kolkata')","('20.88098', '75.11937', 'Parola', 'IN', 'Asia/Kolkata')","[('21.59983', '71.21169'), ('12.25282', '79.41727'), ('23.1959', '86.51499'), ('24.05979', '77.40858'), ('30.21121', '74.4818'), ('22.75218', '72.68533'), ('10.10649', '76.35484'), ('24.05979', '77.40858'), ('25.49043', '85.94001'), ('26.11527', '86.59509')]"
"('15.73628', '75.96976', 'Gajendragarh', 'IN', 'Asia/Kolkata')","('14.62072', '74.83554', 'Sirsi', 'IN', 'Asia/Kolkata')","[('17.54907', '82.85749'), ('11.12018', '76.11996'), ('31.28092', '74.85849'), ('17.34769', '78.55757'), ('18.51957', '73.85535'), ('19.30157', '72.85107'), ('11.00599', '77.5609'), ('22.88783', '84.13864'), ('12.95629', '78.27539'), ('25.6439', '77.9129')]"
"('16.06213', '76.0586', 'Hungund', 'IN', 'Asia/Kolkata')","('21.59983', '71.21169', 'Amreli', 'IN', 'Asia/Kolkata')","[('10.58806', '77.24779'), ('32.55531', '76.12647'), ('24.81757', '84.63445'), ('25.6439', '77.9129'), ('22.4711', '88.1453'), ('24.81757', '84.63445'), ('30.81383', '75.16878'), ('25.92127', '86.79271'), ('16.06213', '76.0586')]"
"('26.2649', '81.54855', 'Jais', 'IN', 'Asia/Kolkata')","('28.92694', '78.23456', 'Bachhraon', 'IN', 'Asia/Kolkata')","[('9.57046', '76.32756'), ('25.13915', '73.06784'), ('27.9247', '78.40102'), ('11.00599', '77.5609'), ('23.07492', '88.28637'), ('25.92493', '73.66633'), ('12.25282', '79.41727'), ('29.22254', '79.5286'), ('25.75728', '75.37991')]"
"('25.49043', '85.94001', 'Teghra', 'IN', 'Asia/Kolkata')","('21.59983', '71.21169', 'Amreli', 'IN', 'Asia/Kolkata')","[('21.53889', '71.57737'), ('28.92694', '78.23456'), ('9.57046', '76.32756'), ('14.62072', '74.83554'), ('25.92493', '73.66633'), ('25.92493', '73.66633'), ('22.75218', '72.68533'), ('11.00599', '77.5609'), ('11.50526', '77.23826')]"
"('28.98002', '77.70636', 'Meerut', 'IN', 'Asia/Kolkata')","('12.95629', '78.27539', 'Robertsonpet', 'IN', 'Asia/Kolkata')","[('15.5439', '73.7553'), ('26.44931', '91.61356'), ('28.98002', '77.70636'), ('22.4711', '88.1453'), ('10.58806', '77.24779'), ('20.88098', '75.11937'), ('21.34222', '71.30633'), ('9.82564', '78.25795')]"
"('10.12268', '77.54372', 'Periyakulam', 'IN', 'Asia/Kolkata')","('26.2649', '81.54855', 'Jais', 'IN', 'Asia/Kolkata')","[('11.50526', '77.23826'), ('9.82564', '78.25795'), ('15.73628', '75.96976'), ('22.75218', '72.68533'), ('22.75218', '72.68533'), ('15.73628', '75.96976'), ('21.59983', '71.21169'), ('23.49668', '86.68363'), ('21.59983', '71.21169'), ('26.32293', '91.00632'), ('23.49668', '86.68363'), ('25.13915', '73.06784')]"
"('24.41288', '76.56719', 'Aklera', 'IN', 'Asia/Kolkata')","('20.88197', '85.83334', 'Bhuban', 'IN', 'Asia/Kolkata')","[('14.46693', '75.92694'), ('32.55531', '76.12647'), ('26.44931', '91.61356'), ('21.53889', '71.57737'), ('23.07492', '88.28637'), ('26.76628', '83.36889'), ('27.9247', '78.40102'), ('18.87813', '72.93924'), ('28.98002', '77.70636'), ('23.07492', '88.28637'), ('26.32293', '91.00632'), ('14.62072', '74.83554')]"
"('12.25282', '79.41727', 'Gingee', 'IN', 'Asia/Kolkata')","('20.88098', '75.11937', 'Parola', 'IN', 'Asia/Kolkata')","[('12.95629', '78.27539'), ('23.07492', '88.28637'), ('25.66795', '85.83636'), ('22.4711', '88.1453'), ('12.1277', '78.15794'), ('20.88098', '75.11937'), ('24.05979', '77.40858'), ('9.57046', '76.32756'), ('26.76628', '83.36889'), ('11.50526', '77.23826')]"
"('22.88783', '84.13864', 'Jashpurnagar', 'IN', 'Asia/Kolkata')","('21.59983', '71.21169', 'Amreli', 'IN', 'Asia/Kolkata')","[('30.81383', '75.16878'), ('21.53889', '71.57737'), ('10.10649', '76.35484'), ('21.46527', '83.97573'), ('11.00599', '77.5609'), ('25.87498', '86.59611'), ('18.18158', '76.03889'), ('10.58806', '77.24779'), ('26.76628', '83.36889'), ('24.81757', '84.63445'), ('28.71271', '77.656'), ('19.30157', '72.85107')]"
"('11.50526', '77.23826', 'Sathyamangalam', 'IN', 'Asia/Kolkata')","('18.87813', '72.93924', 'Uran', 'IN', 'Asia/Kolkata')","[('25.6439', '77.9129'), ('28.92694', '78.23456'), ('20.88197', '85.83334'), ('10.10649', '76.35484'), ('32.55531', '76.12647'), ('31.28092', '74.85849'), ('23.07492', '88.28637'), ('12.1277', '78.15794'), ('12.95629', '78.27539'), ('26.2649', '81.54855')]"
"('21.46527', '83.97573', 'Sambalpur', 'IN', 'Asia/Kolkata')","('28.98002', '77.70636', 'Meerut', 'IN', 'Asia/Kolkata')","[('14.46693', '75.92694'), ('28.98002', '77.70636'), ('22.75218', '72.68533'), ('11.93381', '79.82979'), ('25.92493', '73.66633'), ('9.57046', '76.32756'), ('12.1277', '78.15794'), ('17.54907', '82.85749'), ('28.98002', '77.70636'), ('31.28092', '74.85849')]"
"('25.66795', '85.83636', 'Dalsingh Sarai', 'IN', 'Asia/Kolkata')","('25.13915', '73.06784', 'Sheoganj', 'IN', 'Asia/Kolkata')","[('25.75728', '75.37991'), ('11.50526', '77.23826'), ('25.87498', '86.59611'), ('25.87498', '86.59611'), ('18.51957', '73.85535'), ('29.21399', '78.95693'), ('18.51957', '73.85535'), ('25.6439', '77.9129'), ('22.19303', '88.18466'), ('27.9247', '78.40102')]"
"('21.46527', '83.97573', 'Sambalpur', 'IN', 'Asia/Kolkata')","('21.59983', '71.21169', 'Amreli', 'IN', 'Asia/Kolkata')","[('25.6439', '77.9129'), ('20.88197', '85.83334'), ('15.45144', '78.14797'), ('25.87498', '86.59611'), ('23.49668', '86.68363'), ('16.06213', '76.0586'), ('21.46527', '83.97573'), ('28.71271', '77.656'), ('10.12268', '77.54372'), ('10.12268', '77.54372')]"
"('19.30157', '72.85107', 'Bhayandar', 'IN', 'Asia/Kolkata')","('25.6439', '77.9129', 'Narwar', 'IN', 'Asia/Kolkata')","[('12.04161', '75.35927'), ('18.87813', '72.93924'), ('24.81757', '84.63445'), ('28.92694', '78.23456'), ('14.46693', '75.92694'), ('12.04161', '75.35927'), ('27.9247', '78.40102'), ('30.81383', '75.16878'), ('14.46693', '75.92694'), ('22.19303', '88.18466'), ('30.81383', '75.16878'), ('22.10194', '85.37752')]"
